run	cluster	nuclei	core_T_fraction	support_T_fraction	myeloid_2plus_fraction	B_2plus_fraction	T_enriched_by_rule
res0.5_seed0	0	1159	0.06557377049180328	0.07506471095772217	0.04659188955996549	0.0	False
res0.5_seed0	1	198	0.025252525252525252	0.03535353535353535	0.015151515151515152	0.0	False
res0.5_seed0	2	1090	0.03302752293577982	0.03669724770642202	0.015596330275229359	0.0	False
res0.5_seed0	3	708	0.022598870056497175	0.03531073446327684	0.01977401129943503	0.0	False
res0.5_seed0	4	482	0.05186721991701245	0.0912863070539419	0.2074688796680498	0.0	False
res0.5_seed0	5	310	0.07419354838709677	0.08709677419354839	0.03870967741935484	0.0	False
res0.5_seed0	6	1155	0.032034632034632034	0.047619047619047616	0.023376623376623377	0.0	False
res0.5_seed0	7	248	0.03225806451612903	0.06048387096774194	0.056451612903225805	0.0	False
res0.5_seed0	8	155	0.7548387096774194	0.5935483870967742	0.01935483870967742	0.0064516129032258064	True
res0.5_seed0	9	344	0.13662790697674418	0.16569767441860464	0.2441860465116279	0.0	False
res0.5_seed42	0	1124	0.06316725978647687	0.07384341637010676	0.04359430604982206	0.0	False
res0.5_seed42	1	194	0.02577319587628866	0.03608247422680412	0.015463917525773196	0.0	False
res0.5_seed42	2	1090	0.03302752293577982	0.03669724770642202	0.015596330275229359	0.0	False
res0.5_seed42	3	826	0.03389830508474576	0.04600484261501211	0.035108958837772396	0.0	False
res0.5_seed42	4	478	0.05230125523012552	0.09205020920502092	0.20711297071129708	0.0	False
res0.5_seed42	5	1158	0.031088082901554404	0.04835924006908463	0.02677029360967185	0.0	False
res0.5_seed42	6	559	0.10554561717352415	0.13059033989266547	0.14669051878354203	0.0	False
res0.5_seed42	7	248	0.03225806451612903	0.06048387096774194	0.056451612903225805	0.0	False
res0.5_seed42	8	155	0.7548387096774194	0.5935483870967742	0.01935483870967742	0.0064516129032258064	True
res0.5_seed42	9	17	0.29411764705882354	0.058823529411764705	0.058823529411764705	0.0	False
res1.0_seed0	0	976	0.055327868852459015	0.06659836065573771	0.035860655737704916	0.0	False
res1.0_seed0	1	197	0.025380710659898477	0.03553299492385787	0.015228426395939087	0.0	False
res1.0_seed0	2	760	0.035526315789473684	0.04736842105263158	0.018421052631578946	0.0	False
res1.0_seed0	3	712	0.023876404494382022	0.0351123595505618	0.019662921348314606	0.0	False
res1.0_seed0	4	470	0.05319148936170213	0.09148936170212765	0.21063829787234042	0.0	False
res1.0_seed0	5	345	0.08115942028985507	0.10434782608695652	0.0782608695652174	0.0	False
res1.0_seed0	6	385	0.03116883116883117	0.02077922077922078	0.01038961038961039	0.0	False
res1.0_seed0	7	248	0.03225806451612903	0.06048387096774194	0.056451612903225805	0.0	False
res1.0_seed0	8	157	0.7452229299363057	0.5923566878980892	0.01910828025477707	0.006369426751592357	True
res1.0_seed0	9	320	0.021875	0.0125	0.009375	0.0	False
res1.0_seed0	10	109	0.11009174311926606	0.10091743119266056	0.11926605504587157	0.0	False
res1.0_seed0	11	450	0.03333333333333333	0.06888888888888889	0.03333333333333333	0.0	False
res1.0_seed0	12	325	0.033846153846153845	0.04923076923076923	0.024615384615384615	0.0	False
res1.0_seed0	13	147	0.11564625850340136	0.08163265306122448	0.027210884353741496	0.0	False
res1.0_seed0	14	219	0.136986301369863	0.2054794520547945	0.319634703196347	0.0	False
res1.0_seed0	15	12	0.0	0.08333333333333333	0.08333333333333333	0.0	False
res1.0_seed0	16	17	0.29411764705882354	0.058823529411764705	0.058823529411764705	0.0	False
res1.0_seed42	0	631	0.042789223454833596	0.04595879556259905	0.02694136291600634	0.0	False
res1.0_seed42	1	197	0.025380710659898477	0.03553299492385787	0.015228426395939087	0.0	False
res1.0_seed42	2	1074	0.03165735567970205	0.037243947858473	0.015828677839851025	0.0	False
res1.0_seed42	3	705	0.024113475177304965	0.03546099290780142	0.018439716312056736	0.0	False
res1.0_seed42	4	469	0.053304904051172705	0.09168443496801706	0.208955223880597	0.0	False
res1.0_seed42	5	428	0.028037383177570093	0.02336448598130841	0.011682242990654205	0.0	False
res1.0_seed42	6	409	0.08312958435207823	0.097799511002445	0.04156479217603912	0.0	False
res1.0_seed42	7	233	0.060085836909871244	0.09012875536480687	0.06866952789699571	0.0	False
res1.0_seed42	8	248	0.03225806451612903	0.06048387096774194	0.056451612903225805	0.0	False
res1.0_seed42	9	157	0.7452229299363057	0.5923566878980892	0.01910828025477707	0.006369426751592357	True
res1.0_seed42	10	108	0.1111111111111111	0.10185185185185185	0.1111111111111111	0.0	False
res1.0_seed42	11	408	0.0392156862745098	0.08088235294117647	0.049019607843137254	0.0	False
res1.0_seed42	12	327	0.027522935779816515	0.04281345565749235	0.01529051987767584	0.0	False
res1.0_seed42	13	146	0.1095890410958904	0.0821917808219178	0.0273972602739726	0.0	False
res1.0_seed42	14	280	0.1392857142857143	0.19285714285714287	0.29285714285714287	0.0	False
res1.0_seed42	15	12	0.0	0.08333333333333333	0.08333333333333333	0.0	False
res1.0_seed42	16	17	0.29411764705882354	0.058823529411764705	0.058823529411764705	0.0	False
